Id,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,LotArea,BedroomAbvGr,FullBath,GarageCars,TotalBsmtSF,1stFlrSF,MasVnrArea,GarageArea,SalePrice
662,Sawyer,3,5,1928,1992,1637,3948,2,1,2,1329,1132,1059,286,186600
663,NridgHt,6,7,1991,1991,2027,6223,1,2,2,619,1622,0,618,344900
664,Edwards,5,6,1982,1982,1719,8439,1,1,0,866,1471,0,0,192100
665,Timber,4,7,1925,1960,637,8110,1,1,0,1476,1332,0,0,125000
666,Somerst,5,4,1992,1994,469,10221,3,2,1,1260,476,0,336,134500
667,SawyerW,6,6,1907,1976,1077,7637,4,1,2,780,1987,0,374,196800
668,Somerst,7,6,1915,1963,1597,3641,1,2,2,1841,1457,1002,550,308600
669,Edwards,6,6,1952,1973,909,12061,2,2,2,875,1450,0,454,178600
670,NridgHt,5,5,1995,2003,2095,7987,5,1,2,318,1670,0,511,393900
671,NWAmes,4,6,1977,1982,1196,7579,5,2,1,681,1600,1131,150,176900
672,Gilbert,8,7,1896,1973,1723,9729,5,3,2,1783,1088,712,346,227600
673,NridgHt,6,5,1977,1984,1823,13134,6,2,2,1503,1944,526,395,325100
674,OldTown,5,7,1925,1979,1482,12239,1,2,2,1316,932,0,355,199300
675,NWAmes,8,5,1938,1971,1093,9298,2,2,2,1478,368,0,368,223500
676,NAmes,5,6,1911,1979,1359,14989,5,2,1,1328,1052,0,239,186600
677,Edwards,6,4,1989,1989,1218,12099,5,2,3,700,652,0,608,181500
678,BrkSide,7,4,1954,1982,1116,5699,4,3,2,638,1293,858,481,189800
679,NoRidge,7,5,1873,2007,970,6747,1,1,2,768,876,0,505,221200
680,OldTown,5,4,1941,1996,1908,7852,3,3,2,1268,1242,1219,469,224000
681,NAmes,5,5,1898,1972,2439,21968,6,3,2,1342,1044,0,319,304000
682,Crawfor,7,7,1996,1996,1579,9394,5,1,2,1532,1269,744,461,239700
683,NAmes,5,5,2005,2005,1690,5067,1,2,1,1835,849,778,177,241700
684,Gilbert,6,6,1872,1961,1413,14140,6,1,2,1632,939,813,573,218300
685,NAmes,5,8,1946,1987,1364,6598,2,3,2,1608,527,0,232,180600
686,Gilbert,7,6,1965,1977,999,27800,5,2,2,1233,1294,0,291,222800
687,Sawyer,8,6,1901,1983,2028,10607,1,2,2,978,1477,0,362,291900
688,NAmes,7,5,1953,2007,1613,3323,5,1,2,1134,1431,903,329,238600
689,OldTown,7,6,1978,1982,1755,7928,5,2,2,746,892,0,479,236300
690,Mitchel,4,7,1887,1964,1407,8053,2,2,2,262,1299,734,523,149600
691,NridgHt,3,5,1943,1960,609,7643,3,2,1,1812,913,0,292,151000
692,CollgCr,5,6,1902,1974,1090,13626,2,1,2,857,965,0,475,155700
693,Timber,5,4,1876,1982,1734,11442,1,2,1,1031,356,599,144,235800
694,Sawyer,6,6,1876,2005,1658,15940,1,2,1,1118,1260,317,169,214600
695,NWAmes,8,5,1895,2002,1542,11631,2,1,2,1049,1195,449,462,211100
696,NAmes,3,6,1960,1999,1845,10950,6,2,2,763,1306,1014,548,229000
697,Gilbert,7,3,1906,1986,919,4813,3,1,2,648,2061,0,429,166800
698,Mitchel,6,6,1895,2008,1991,10106,1,1,1,210,692,421,197,218300
699,Sawyer,7,6,1936,1987,2469,11923,1,1,2,1184,1666,0,368,307800
700,NAmes,8,6,1888,1990,2084,10995,2,2,2,1733,1356,0,568,273300
701,OldTown,5,5,1981,1981,1361,11337,4,2,3,1185,933,0,504,188700
702,Somerst,7,3,1979,1979,2203,4059,3,1,2,718,1513,1042,617,355300
703,Gilbert,6,7,1929,1996,1733,10232,3,2,2,930,1176,0,436,213900
704,Mitchel,8,4,1955,1990,1460,7102,5,2,2,1281,1296,0,506,264400
705,Edwards,6,7,1925,1953,1833,11806,5,1,2,1367,856,0,447,194300
706,Crawfor,7,5,1924,2004,2226,15006,4,2,1,733,1046,456,295,261800
707,Gilbert,5,4,1997,1997,334,13272,2,2,2,536,693,0,391,137500
708,Edwards,6,5,1998,1998,468,7912,3,1,2,617,1462,0,431,135400
709,Gilbert,7,4,1928,1956,724,5898,2,2,3,1266,1916,0,756,186200
710,NWAmes,6,4,1983,1983,1290,8928,2,2,3,447,947,455,841,207200
711,CollgCr,5,7,1962,1990,1764,8350,3,2,1,673,1307,0,259,225200
712,NoRidge,5,7,1881,1997,2277,13820,3,1,2,1017,941,12,465,345900
713,Somerst,9,5,1989,1989,879,14264,1,3,2,1797,494,0,408,282600
714,Timber,6,5,1947,2009,2265,12628,2,1,1,810,1046,1494,195,369300
715,Somerst,8,3,1962,2002,1281,7289,1,1,2,1401,1150,0,642,275800
716,Edwards,7,5,1963,1963,1896,13995,2,2,1,475,1568,0,158,245900
717,NridgHt,7,5,1991,1991,1386,10956,3,2,2,933,1459,688,474,326800
718,NoRidge,5,7,1962,2005,812,4145,5,2,2,285,1272,210,416,210000
719,Edwards,8,6,2000,2003,2108,5246,4,2,3,1154,1359,0,575,303300
720,Timber,7,6,1936,1958,1052,4973,5,2,2,739,482,0,389,269600
721,Somerst,9,6,1887,1952,759,6569,3,2,2,1143,2327,1102,315,204100
722,Gilbert,5,5,1934,2005,2118,13196,6,1,2,737,469,884,568,213600
723,Gilbert,7,6,1922,1965,1822,16898,6,1,2,1664,1751,66,398,284200
724,OldTown,8,6,1987,1987,2218,7805,4,1,2,918,752,0,545,233100
725,NWAmes,5,6,1957,1957,2326,8559,2,2,2,926,1178,0,421,287400
726,OldTown,5,6,1968,1997,1812,6751,5,1,3,841,1675,0,569,225900
727,NAmes,7,8,1963,1998,881,9881,4,1,2,1114,1836,0,487,175300
728,NoRidge,6,3,2004,2004,754,6521,4,1,1,1174,1143,0,328,196100
729,NWAmes,6,4,1941,1960,1031,10288,5,1,2,695,913,0,494,150600
730,Sawyer,5,5,2004,2008,2393,16366,1,1,1,966,760,897,270,292300
731,NoRidge,6,7,1991,1991,1715,8074,1,1,2,1243,985,1552,600,317700
732,BrkSide,7,6,2003,2005,1345,7286,4,2,2,1691,880,100,619,181700
733,NoRidge,6,6,1957,1969,1967,8667,2,2,2,1468,1761,1471,434,388300
734,Sawyer,8,5,1882,1967,1868,7403,3,1,2,1238,779,384,476,252400
735,NridgHt,4,5,2002,2002,1545,10344,4,2,1,1611,615,817,223,252300
736,BrkSide,7,6,1910,1958,1925,14013,5,1,3,502,909,0,709,206000
737,SawyerW,7,5,1909,1996,901,5106,5,2,3,1651,1885,820,917,187900
738,CollgCr,6,7,1902,1963,2817,4617,3,2,2,1102,862,1338,594,335900
739,CollgCr,9,4,1995,1995,334,6339,3,2,2,802,1391,1322,524,221700
740,NWAmes,6,7,1905,1957,1018,11116,6,1,2,925,1467,0,503,161200
741,Somerst,5,7,1887,1999,1137,11846,4,2,2,1432,707,393,412,196600
742,Mitchel,7,5,1914,2006,1268,21009,5,1,2,874,1182,0,482,201600
743,Edwards,4,4,2005,2005,1381,12334,2,2,2,1096,1198,1488,476,188900
744,Edwards,6,5,1977,1997,2064,8346,3,2,2,1248,1383,820,534,266100
745,BrkSide,5,5,1989,1989,1714,5121,4,2,1,1442,1500,0,216,159600
746,NridgHt,3,7,1924,1967,1327,9069,1,3,2,456,911,0,587,197300
747,Timber,5,5,1900,1995,2082,9782,3,2,2,916,1030,0,552,269300
748,Gilbert,7,6,1895,1968,1244,8338,2,2,3,1408,1139,1267,568,191100
749,Edwards,6,5,1940,1993,1479,7876,2,2,1,1644,2205,0,214,174600
750,CollgCr,8,5,1965,1989,1106,10673,5,2,2,778,629,0,539,266300
751,NAmes,5,5,1941,2000,680,9684,5,1,2,1807,1101,0,334,145700
752,Edwards,5,8,1879,2001,1361,19405,5,1,0,1125,1235,3,0,125100
753,Somerst,6,7,1969,1969,1639,6863,5,1,2,465,816,0,368,296000
754,Mitchel,7,6,1877,1952,2513,11070,1,1,2,1253,1445,416,495,310900
755,SawyerW,6,6,1973,2006,1320,7572,2,2,1,933,815,0,428,181500
756,NAmes,6,7,1940,1970,1440,7538,3,3,3,716,1140,0,627,254300
757,Mitchel,7,4,1889,1979,1140,9225,4,2,2,376,710,113,598,198000
758,SawyerW,6,3,1989,2006,603,17453,3,2,1,1018,675,909,193,173500
759,Crawfor,7,6,1906,1955,1093,13973,4,2,2,1245,1007,311,439,219700
760,OldTown,5,5,1985,1985,1160,5083,1,2,1,1176,971,737,304,148000
761,OldTown,6,5,1886,1958,2027,10133,5,2,2,903,1197,0,267,242700
762,Timber,6,6,1945,1979,1371,3790,2,1,1,480,1260,1330,97,247700
763,OldTown,8,3,1888,1958,1412,7450,3,1,1,1564,1786,1168,195,175900
764,SawyerW,7,7,1953,1970,2110,15042,2,1,3,1205,889,0,482,323000
765,SawyerW,3,7,1962,1978,1898,7004,1,2,0,0,352,0,0,164100
766,NWAmes,9,4,1984,2003,1844,6805,6,1,2,758,568,0,407,321200
767,Edwards,7,8,1936,1978,2140,22980,3,3,2,1348,975,0,294,221200
768,Sawyer,8,7,1884,1983,870,11205,6,1,2,1601,683,0,438,186600
769,Sawyer,8,5,1948,1983,412,15343,3,1,2,1474,1304,576,569,163600
770,Mitchel,5,5,1948,2008,1551,16768,6,2,1,1212,403,12,180,170100
771,Sawyer,5,6,1978,1978,1239,8665,5,2,2,700,690,1336,391,163100
772,Crawfor,5,6,1897,1962,2112,14458,6,2,2,1623,694,743,545,237500
773,Crawfor,6,6,1923,1972,1438,8712,3,2,2,1429,869,664,362,199600
774,Gilbert,4,8,1971,1971,2620,8437,4,2,3,1026,848,118,1020,328400
775,Timber,7,5,1979,1979,2226,10993,6,2,1,1176,1135,963,228,381100
776,NoRidge,6,6,1969,1969,1924,14471,1,1,2,1139,1256,0,523,307800
777,Gilbert,5,6,1921,1984,2137,8375,4,1,3,815,1102,1221,585,235900
778,Crawfor,9,4,2008,2008,991,12646,1,2,1,962,1139,1206,244,250400
779,Mitchel,7,6,2000,2000,1070,5735,6,1,2,1354,1104,0,682,235200
780,Somerst,2,5,1974,1974,899,10977,4,1,2,1051,625,0,640,127000
781,SawyerW,7,6,1993,1993,1343,3610,3,1,3,1094,1345,1551,698,213900
782,BrkSide,6,5,1963,1986,648,9913,5,1,0,681,986,27,0,120300
783,Timber,6,7,1964,1996,856,4361,3,2,1,1472,334,0,233,181400
784,NridgHt,7,4,2003,2003,1213,14911,3,1,0,1284,857,0,0,295000
785,BrkSide,6,3,2008,2008,421,8251,6,1,2,504,709,0,556,104100
786,Sawyer,6,7,1938,1983,1394,8385,6,2,1,1138,1146,468,180,227800
787,OldTown,4,5,1998,1998,658,10004,2,2,2,986,1347,0,471,102200
788,NAmes,6,7,1971,2006,1224,7319,4,2,2,1841,769,0,458,199000
789,NWAmes,5,9,1969,1977,507,7259,6,1,1,767,1113,248,296,122000
790,OldTown,7,5,1989,1989,2127,8298,2,1,2,807,1546,665,486,271300
791,NoRidge,7,5,1918,1953,2097,5398,1,3,1,663,865,1246,229,328100
792,Crawfor,9,6,1937,1954,979,3804,2,1,3,1912,1224,0,979,231700
793,CollgCr,5,4,1908,1960,1455,6915,1,1,2,1782,1132,0,582,177100
794,Gilbert,5,5,1932,1995,2322,6838,4,1,2,1346,1177,0,386,244300
795,NAmes,7,6,1948,1986,2344,3605,2,1,2,827,1277,126,545,302800
796,OldTown,5,5,1906,1974,1306,10758,4,2,2,243,1320,31,429,136300
797,Mitchel,5,6,1940,2002,1019,7809,3,2,1,713,1114,388,210,144500
798,Timber,4,4,1902,1950,2551,12625,1,2,2,76,744,550,374,285800
799,NoRidge,8,6,1937,1973,885,8954,3,1,2,441,1142,777,371,230500
800,NoRidge,5,7,1965,1980,1912,7669,5,2,2,699,1214,0,384,359400
801,Somerst,6,3,1957,1962,1320,9110,2,1,2,1191,853,306,364,246400
802,NridgHt,5,6,1907,1990,1302,4016,6,2,2,1188,1030,1368,514,223900
803,NAmes,7,7,1929,2000,1145,7128,5,1,2,1195,1139,1219,410,222700
804,Edwards,7,6,1957,2007,1700,13227,5,3,1,1582,1453,0,277,223700
805,NoRidge,7,6,1963,1967,1514,26667,4,1,2,853,2071,0,442,331400
806,BrkSide,5,7,1964,1968,778,6045,1,1,1,403,1179,4,303,119000
807,CollgCr,6,8,1899,1958,1493,12042,2,1,2,403,1372,1408,350,241500
808,NAmes,6,6,1890,1986,1129,7356,1,2,1,381,1396,293,117,163500
809,NWAmes,6,4,1991,1993,1446,12065,2,2,1,1372,1246,392,247,187600
810,Sawyer,7,5,1941,1995,1776,10125,1,2,2,552,606,0,643,271800
811,Edwards,6,6,1982,1982,1251,4439,3,2,1,138,706,0,229,189400
812,OldTown,7,4,1903,1994,1354,9205,2,2,1,1181,1011,758,257,158600
813,CollgCr,5,6,1926,1982,1141,9872,4,1,1,804,781,86,179,147400
814,Somerst,7,5,1932,1976,1729,8554,5,1,3,1032,836,0,913,320500
815,Gilbert,5,8,1952,1955,1462,4052,1,2,2,1074,644,370,464,177700
816,NAmes,10,4,1952,1970,1725,8829,1,2,3,522,1406,986,782,291200
817,NWAmes,7,8,1936,1961,1559,7972,2,2,2,1843,360,774,364,249900
818,Crawfor,5,4,1925,1994,2487,8749,6,2,2,748,1447,1374,381,286200
819,SawyerW,6,3,1924,1987,1729,12121,5,2,3,110,1665,272,681,210900
820,OldTown,6,7,1942,1973,1562,6505,6,1,3,1657,1449,1459,598,182400
821,OldTown,6,5,1982,1982,1605,9697,3,1,3,1299,778,1136,876,235000
822,Gilbert,5,6,1997,1997,2409,9438,6,2,1,164,1289,0,220,281000
823,Timber,3,6,1961,1961,2197,5077,4,1,2,322,1333,458,502,286200
824,Gilbert,8,4,1996,1996,2238,3603,3,1,2,1875,566,0,625,320200
825,Crawfor,6,3,1939,1963,1510,8504,6,1,1,704,1599,376,278,180400
826,BrkSide,7,5,1952,1965,1905,8011,1,1,2,498,1170,298,657,208200
827,Crawfor,4,6,1996,2009,1462,6730,2,2,2,1498,1557,0,333,217400
828,SawyerW,7,5,1904,1994,1872,10333,4,2,2,1815,559,657,509,260600
829,Sawyer,6,5,1908,1990,1493,10527,6,1,2,411,1528,125,287,187900
830,Crawfor,6,6,1876,1975,1450,6591,1,1,1,1225,1500,0,184,181700
831,NridgHt,4,4,1989,1989,1329,16633,1,2,2,1478,2109,699,470,225900
832,OldTown,6,5,1938,1979,1643,6351,6,2,2,521,866,673,489,208400
833,NAmes,7,7,1958,1997,2005,21861,5,1,2,943,334,0,507,240400
834,Gilbert,6,5,1938,1975,2019,12845,5,1,2,406,1467,1033,482,218200
835,BrkSide,9,6,1915,1994,1204,9080,4,1,2,889,791,1529,748,199500
836,Mitchel,7,5,1899,1995,1489,4348,1,2,3,1434,1524,0,614,242400
837,SawyerW,9,5,1922,1990,964,4774,5,1,0,1152,718,1464,0,171200
838,NridgHt,5,6,1896,1971,1298,10105,2,2,2,712,1438,1569,776,233200
839,OldTown,4,4,1941,1974,1177,7953,2,2,3,1045,993,0,1044,168600
840,Edwards,5,7,1927,1976,843,6208,3,1,2,50,1433,861,575,145600
841,Mitchel,5,6,1987,1992,1370,11525,5,2,2,661,1308,1152,592,224200
842,Crawfor,5,7,1976,1976,2421,8801,6,2,2,1993,1439,308,435,311300
843,Sawyer,6,5,1918,1977,1491,5270,6,1,2,1252,1471,0,458,190600
844,SawyerW,7,4,1998,1998,2020,7395,1,3,2,1521,1358,811,532,284700
845,Edwards,5,5,1969,1969,1531,7962,5,2,2,647,711,0,515,215500
846,BrkSide,6,6,1893,2005,1357,11975,4,3,2,565,1708,1279,407,167200
847,SawyerW,5,6,1910,2001,2161,8912,3,1,2,630,1165,0,567,225600
848,Edwards,6,6,1989,1998,2360,9088,2,1,2,1087,1363,128,781,277700
849,OldTown,5,4,1911,1988,924,15545,2,1,0,1735,1032,640,0,118400
850,Mitchel,5,7,1916,1957,2188,3893,6,2,1,1312,1504,1407,376,221100
851,CollgCr,7,5,1919,1955,1647,21443,3,2,2,1002,1256,0,536,253000
852,Sawyer,6,5,1961,1995,901,4253,2,1,2,1248,1354,0,612,163100
853,NAmes,7,6,1939,1989,1336,4458,5,2,2,1811,824,0,521,201500
854,NridgHt,5,6,1976,1976,1483,7755,1,1,2,625,1530,28,537,315500
855,BrkSide,6,5,1872,1955,1897,6275,5,1,2,1845,1265,551,399,193900
856,CollgCr,7,7,1908,1963,1765,22678,3,2,2,1281,538,103,398,274000
857,Edwards,8,6,1993,1994,1346,5549,3,2,2,1755,881,165,540,218400
858,Timber,5,6,1968,1968,1901,6152,3,1,2,1214,1307,869,599,271300
859,Timber,5,5,1891,1995,1217,8513,3,1,0,1773,1477,0,0,204300
860,Timber,6,5,1915,2003,1313,19579,4,1,1,1199,1466,26,308,251700
861,Gilbert,4,5,1934,1986,2528,15608,4,1,1,1445,762,1193,148,229600
862,Timber,7,6,1878,1970,694,9922,5,2,2,1283,1214,0,502,174700
863,OldTown,6,4,1969,1969,1958,4782,6,1,2,1212,793,583,586,223700
864,Gilbert,4,6,1935,1979,951,3705,2,1,2,617,1069,0,194,141700
865,BrkSide,5,6,1933,2000,1733,5478,2,1,2,883,859,0,516,159500
866,CollgCr,7,6,1932,1968,1580,3324,3,1,2,1463,1323,0,483,248500
867,Timber,5,6,1880,1969,1195,4802,1,2,3,764,1593,0,837,243400
868,NAmes,7,6,1903,1995,1490,3406,3,3,1,1184,1791,0,199,242100
869,CollgCr,8,5,1920,1950,1030,10708,6,1,1,1239,1260,139,309,218900
870,Somerst,8,4,1902,1960,1804,4745,5,1,2,107,983,1571,533,325200
871,Mitchel,7,5,1958,2003,1911,14597,4,2,2,341,482,0,490,235400
872,NoRidge,6,6,1952,1966,2172,9528,6,2,3,1629,1390,0,714,365400
873,BrkSide,5,7,2001,2001,2411,8735,6,2,2,1528,1617,22,458,218100
874,NAmes,7,6,1922,1989,1366,12431,3,1,2,1165,1712,1316,505,233700
875,Gilbert,7,7,1890,1990,1211,7214,6,2,2,961,992,1085,440,181500
876,NoRidge,8,6,1883,1978,1233,9287,5,2,2,884,1119,1296,508,324100
877,Somerst,7,5,1906,1989,2221,5632,4,2,2,783,1307,1223,483,366500
878,NoRidge,6,6,1999,1999,1292,14677,3,1,2,775,1187,176,461,285900
879,Edwards,8,5,2003,2003,1800,17416,1,2,2,910,720,0,403,270200
880,SawyerW,8,8,1985,1985,854,7091,5,2,2,1767,647,1368,536,180100
881,Sawyer,3,5,1881,1972,1492,16978,1,2,1,865,1549,0,306,141400
882,Sawyer,8,5,1970,2007,1684,8681,6,1,2,1075,1684,0,648,285500
883,Crawfor,7,5,2009,2009,1409,12702,5,1,1,251,928,0,263,248600
884,CollgCr,6,7,2009,2009,1287,8593,6,1,2,685,1549,99,584,227600
885,NWAmes,6,4,1965,2006,710,7977,5,1,3,889,1344,408,636,185200
886,BrkSide,7,4,1915,1961,2453,6963,4,2,1,1075,1096,256,248,212100
887,NAmes,8,4,1901,1956,1656,11777,2,2,2,944,1231,959,506,278000
888,SawyerW,7,4,1955,1991,2540,4857,6,3,3,249,1609,746,841,372300
889,Crawfor,7,6,1968,2002,1853,9930,5,1,0,1156,938,1564,0,260800
890,NridgHt,7,6,1950,1967,2061,14781,2,2,0,1266,1097,1171,0,405500
891,Timber,7,4,1910,1959,1384,5321,5,2,2,1855,835,1403,513,262900
892,Mitchel,9,6,1877,1988,1575,13180,2,3,2,898,551,1083,582,280700
893,NAmes,8,6,1970,1978,1596,15762,1,1,2,1119,1517,0,589,240200
894,BrkSide,7,6,1988,1992,1582,5839,6,2,2,931,726,1130,713,213800
895,CollgCr,5,3,1905,2003,2463,7750,1,3,1,1052,1262,1219,206,298200
896,Crawfor,7,7,1887,1996,1448,6168,3,2,1,1188,1427,0,299,184500
897,Somerst,6,6,1894,1996,1594,9551,1,2,1,1444,1069,110,181,224300
898,SawyerW,6,6,2002,2002,1233,5115,2,1,0,1233,1375,0,0,167300
899,BrkSide,5,7,1902,1992,1684,13668,4,1,2,656,936,911,562,176400
900,SawyerW,6,7,1886,1967,1199,6445,2,1,2,590,1862,0,578,190300
901,SawyerW,6,4,1927,1967,1365,5165,2,1,2,796,901,1391,579,176600
902,CollgCr,8,7,1993,1993,2432,11150,1,2,2,672,2109,529,351,352400
903,NoRidge,6,5,1908,1980,1469,5293,4,1,1,758,695,619,312,226400
904,Mitchel,7,4,1939,2008,1014,8701,4,2,2,498,805,0,236,178200
905,Mitchel,7,6,1993,1993,2301,15466,4,2,2,1424,957,0,431,339800
906,CollgCr,7,5,1886,1960,1477,13700,3,2,1,798,1460,0,266,203300
907,NAmes,6,7,1992,2009,2085,14860,3,2,2,904,984,1154,496,294400
908,NridgHt,8,6,1978,1991,2096,7746,6,2,2,1549,1924,763,335,414700
909,Sawyer,2,7,1974,1974,1753,8643,6,2,2,741,1130,0,543,203200
910,CollgCr,8,5,1979,1995,1750,11235,4,1,2,1190,1415,232,756,302200
911,NoRidge,3,7,1876,1996,1218,7673,3,2,1,1674,1113,1531,256,160600
912,SawyerW,8,5,1954,1985,1571,11842,2,2,2,392,858,530,487,217700
913,Edwards,7,7,1894,1964,2226,4553,3,1,3,1163,806,928,529,281500
914,Sawyer,7,6,1966,1995,1411,8625,5,2,2,1418,1330,1456,332,215800
915,CollgCr,8,5,1980,1984,1087,15998,1,1,1,958,1208,633,178,229800
916,Crawfor,6,8,1920,1954,681,7511,4,2,2,518,334,1422,577,139300
917,NridgHt,7,5,2000,2000,1617,9034,5,2,2,986,1411,772,544,318700
918,Crawfor,5,5,1929,1994,1164,26947,3,1,1,1608,1096,0,299,167200
919,Somerst,6,6,1885,1957,2268,6527,3,1,2,676,1633,282,489,301600
920,Gilbert,8,6,1943,1964,1763,8451,4,2,0,1258,1043,232,0,244700
921,CollgCr,7,4,1884,1982,1639,3546,6,1,2,771,1250,52,372,201800
922,SawyerW,7,4,1912,1976,1625,10892,5,2,2,1646,1221,1598,292,234500
923,Timber,6,5,1973,2002,1512,12357,3,1,2,1001,868,197,453,311100
924,OldTown,6,6,1948,1988,1637,11982,3,2,2,510,1204,972,411,188900
925,OldTown,5,5,1917,1968,939,20932,2,2,1,1079,1191,1108,353,136900
926,CollgCr,6,6,1971,2004,1884,11792,1,1,2,571,1617,1167,629,225700
927,Edwards,4,7,1939,1965,1437,8651,4,3,0,982,906,1585,0,173800
928,NWAmes,5,6,1923,1990,1687,12978,2,3,3,1255,817,0,701,209600
929,Timber,5,6,1888,1982,962,7058,4,2,1,1046,1622,0,85,162400
930,BrkSide,8,6,1982,1982,875,12147,6,1,2,1288,1688,937,508,152300
931,Sawyer,7,5,1984,2004,1191,37424,3,1,2,1763,784,922,524,237700
932,Gilbert,8,5,1977,2005,1513,24820,6,2,1,817,1031,1464,265,227100
933,NridgHt,6,5,1989,1989,2261,20122,4,1,2,1043,1460,1478,568,354900
934,Somerst,8,6,1884,1960,334,10872,1,2,1,1139,562,0,243,182400
935,Timber,7,7,1912,1980,2541,5803,5,1,2,1299,953,485,467,317200
936,NoRidge,5,7,1876,1955,981,7485,1,1,1,1440,1086,0,244,200600
937,NWAmes,3,7,1883,1952,1842,28138,1,1,1,920,1140,1409,182,158300
938,Edwards,5,4,2003,2003,1955,8097,3,2,2,454,1232,0,463,202500
939,Somerst,7,5,1974,1974,1221,16463,3,2,2,1235,826,1596,566,220900
940,Gilbert,9,7,1887,2002,1719,5799,2,1,2,1049,1524,271,428,263400
941,CollgCr,7,6,1979,2003,1227,11121,6,1,2,1745,1091,105,651,211600
942,NridgHt,5,5,1955,1975,1426,12275,4,2,3,1048,888,0,694,266100
943,SawyerW,6,7,1940,1970,833,6520,3,2,1,1050,1428,0,214,144700
944,NoRidge,7,4,1972,1983,1290,4815,1,1,0,972,1505,1286,0,261700
945,NWAmes,7,6,1992,2001,2154,6460,2,2,2,225,1284,0,449,322600
946,Edwards,6,4,1984,1984,2276,14267,1,1,2,953,1753,445,393,284000
947,Sawyer,5,6,1974,1974,1240,18269,2,2,1,797,697,0,255,159200
948,Timber,8,5,1958,1961,1242,6544,1,2,2,0,1358,0,550,269300
949,Timber,4,6,1971,1971,925,6143,4,1,1,1115,855,0,382,149500
950,Sawyer,7,5,1911,1999,1888,5436,3,1,2,970,1700,1393,392,261300
951,NWAmes,5,4,1952,1967,1592,16319,3,2,2,117,1346,0,473,232600
952,Crawfor,3,5,1940,1982,1356,6765,5,1,2,765,1572,0,536,132000
953,Crawfor,6,4,1998,2001,1202,4238,3,1,2,1405,1722,1262,537,199400
954,Edwards,6,5,1957,1964,1808,7923,6,1,2,802,1412,0,544,185400
955,Somerst,5,5,1951,1992,1427,6229,4,2,2,788,1031,1589,620,257800
956,Mitchel,8,7,2008,2008,1813,17870,4,2,1,824,665,69,212,251200
957,Sawyer,4,5,1974,1988,1466,13431,3,2,3,1457,1074,0,727,207000
958,NoRidge,7,5,1973,1973,1993,10225,5,2,2,1713,1004,0,559,356800
959,NoRidge,7,5,1963,1966,1848,18308,5,2,2,1502,1085,1344,286,342900
960,NoRidge,6,6,1909,1976,1150,9928,3,2,2,1260,1461,0,409,236300
961,Sawyer,6,6,1926,1970,1388,7718,2,2,2,1672,1032,0,490,198600
962,BrkSide,5,4,1903,1984,606,5925,2,2,2,678,1603,1024,585,108000
963,BrkSide,6,8,1948,1962,1699,7509,2,1,2,1496,1179,593,463,195600
964,Timber,7,7,1874,1987,983,4244,4,1,2,1478,865,0,528,236300
965,NoRidge,5,5,1901,1955,1730,17493,5,2,1,108,1401,733,117,288000
966,Somerst,3,3,1947,2008,960,6466,2,2,1,1308,957,0,188,150800
967,Mitchel,5,6,2004,2004,1211,4171,4,2,2,1950,1378,1454,283,211400
968,OldTown,5,5,1892,1988,849,15094,4,2,2,1321,1058,0,509,120600
969,Crawfor,3,5,1889,1985,2188,8469,3,2,2,1705,746,0,423,241800
970,Gilbert,5,6,1887,1976,1748,3510,2,2,3,1071,1545,1481,852,222900
971,Somerst,8,6,1933,2005,1761,4431,6,2,2,882,580,518,499,281000
972,NridgHt,8,8,1886,1962,700,4816,2,2,1,1052,1497,0,220,203300
973,Crawfor,7,4,1878,1960,1375,4020,3,2,2,1113,1568,623,520,232600
974,OldTown,7,7,1946,1999,1808,7391,3,2,2,793,1450,0,537,220900
975,Gilbert,3,4,1894,1974,1976,13654,6,2,2,1109,1644,768,430,202300
976,Sawyer,8,6,1888,1995,1282,9712,5,1,2,1174,1229,0,532,194300
977,NAmes,4,6,1944,1996,1195,3558,3,1,2,1226,1870,0,350,161800
978,Mitchel,5,6,1930,1977,1044,6478,6,2,2,1918,1222,705,513,160300
979,Mitchel,6,7,1936,1979,2006,10890,6,1,2,1464,772,1467,549,234700
980,Gilbert,6,4,1893,2005,536,8034,6,2,2,1033,1153,0,464,146500
981,Sawyer,5,4,1999,1999,1591,11035,1,1,2,1101,895,1589,427,208900
982,Mitchel,5,6,1950,1976,334,9472,3,1,1,1640,1544,0,157,106300
983,Edwards,7,4,1951,1998,1963,5191,6,1,2,1008,1293,0,551,233000
984,Edwards,9,6,1958,1982,1088,4769,4,2,2,496,1021,0,372,230600
985,OldTown,6,6,1942,1955,2078,8185,1,2,2,841,1658,129,285,236600
986,NridgHt,7,4,2000,2000,941,6353,4,1,3,1265,1247,30,717,279700
987,SawyerW,6,6,1911,1951,1648,9795,6,1,2,758,1457,590,338,202300
988,Gilbert,7,6,1974,1977,1772,15189,2,2,2,1017,953,12,313,258900
989,Crawfor,7,4,1950,1985,1302,15323,3,1,2,1208,1757,943,559,244100
990,Mitchel,7,6,1989,1989,623,4719,1,2,1,1046,334,0,256,159500
991,BrkSide,5,5,1951,1972,1082,6937,6,1,2,327,1316,386,530,121200
992,Somerst,5,4,2001,2001,1085,5174,6,2,1,1040,1584,0,338,171800
993,NoRidge,6,7,1994,1994,1899,12199,1,2,2,972,1166,1438,508,360700
